id,profile_history,responses,profile_score,depth_score,consistency_score,progression_score,label
16,"[{'timestamp': '2020-01', 'skills': ['Machine Learning']}, {'timestamp': '2020-12', 'skills': ['Machine Learning', 'Deep Learning']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'NLP']}]","[{'detail': 0.358, 'tag': 'proj_2'}, {'detail': 0.217, 'tag': 'proj_3'}, {'detail': 0.33, 'tag': 'proj_4'}]",0.6,0.302,0.3,0.3,1
17,"[{'timestamp': '2020-01', 'skills': ['Kubernetes']}, {'timestamp': '2020-12', 'skills': ['Kubernetes', 'Spark']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'NLP']}]","[{'detail': 0.29, 'tag': 'proj_5'}, {'detail': 0.454, 'tag': 'proj_2'}, {'detail': 0.235, 'tag': 'proj_2'}]",0.6,0.326,0.3,0.3,1
18,"[{'timestamp': '2020-01', 'skills': ['Machine Learning']}, {'timestamp': '2020-12', 'skills': ['Machine Learning', 'Docker']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'NLP']}]","[{'detail': 0.3, 'tag': 'proj_5'}, {'detail': 0.39, 'tag': 'proj_2'}, {'detail': 0.334, 'tag': 'proj_2'}]",0.6,0.341,0.3,0.3,1
19,"[{'timestamp': '2020-01', 'skills': ['Docker']}, {'timestamp': '2020-12', 'skills': ['Docker', 'Python']}, {'timestamp': '2021-12', 'skills': ['Docker', 'Python']}]","[{'detail': 0.796, 'tag': 'proj_3'}, {'detail': 0.861, 'tag': 'proj_3'}, {'detail': 0.762, 'tag': 'proj_3'}]",0.5,0.806,1.0,0.3,0
20,"[{'timestamp': '2020-01', 'skills': ['Python']}, {'timestamp': '2020-12', 'skills': ['Python', 'Kafka']}, {'timestamp': '2021-12', 'skills': ['AWS', 'Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.387, 'tag': 'proj_4'}, {'detail': 0.344, 'tag': 'proj_4'}, {'detail': 0.403, 'tag': 'proj_4'}]",0.714,0.378,1.0,0.3,1
21,"[{'timestamp': '2020-01', 'skills': ['Machine Learning']}, {'timestamp': '2020-12', 'skills': ['Machine Learning', 'Spark']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.363, 'tag': 'proj_2'}, {'detail': 0.341, 'tag': 'proj_2'}, {'detail': 0.334, 'tag': 'proj_4'}]",0.667,0.346,0.3,0.3,1
22,"[{'timestamp': '2020-01', 'skills': ['SQL']}, {'timestamp': '2020-12', 'skills': ['SQL', 'AWS']}, {'timestamp': '2021-12', 'skills': ['SQL', 'AWS', 'Kubernetes']}]","[{'detail': 0.695, 'tag': 'proj_2'}, {'detail': 0.856, 'tag': 'proj_2'}, {'detail': 0.707, 'tag': 'proj_2'}]",0.333,0.753,1.0,0.3,0
23,"[{'timestamp': '2020-01', 'skills': ['Machine Learning']}, {'timestamp': '2020-12', 'skills': ['Machine Learning', 'SQL']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'SQL', 'AWS']}]","[{'detail': 0.721, 'tag': 'proj_2'}, {'detail': 0.757, 'tag': 'proj_2'}, {'detail': 0.704, 'tag': 'proj_2'}]",0.333,0.727,1.0,0.3,0
24,"[{'timestamp': '2020-01', 'skills': ['Kafka']}, {'timestamp': '2020-12', 'skills': ['Kafka', 'SQL']}, {'timestamp': '2021-12', 'skills': ['Kafka', 'SQL', 'Spark']}]","[{'detail': 0.869, 'tag': 'proj_3'}, {'detail': 0.88, 'tag': 'proj_3'}, {'detail': 0.727, 'tag': 'proj_3'}]",0.333,0.825,1.0,0.3,0
25,"[{'timestamp': '2020-01', 'skills': ['SQL']}, {'timestamp': '2020-12', 'skills': ['SQL', 'Kubernetes']}, {'timestamp': '2021-12', 'skills': ['SQL', 'Kubernetes', 'Spark']}]","[{'detail': 0.595, 'tag': 'proj_2'}, {'detail': 0.843, 'tag': 'proj_2'}, {'detail': 0.7, 'tag': 'proj_2'}]",0.333,0.713,1.0,0.3,0
26,"[{'timestamp': '2020-01', 'skills': ['Deep Learning']}, {'timestamp': '2020-12', 'skills': ['Deep Learning', 'SQL']}, {'timestamp': '2021-12', 'skills': ['AWS', 'Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.431, 'tag': 'proj_3'}, {'detail': 0.276, 'tag': 'proj_3'}, {'detail': 0.418, 'tag': 'proj_3'}]",0.714,0.375,1.0,0.3,1
27,"[{'timestamp': '2020-01', 'skills': ['Kubernetes']}, {'timestamp': '2020-12', 'skills': ['Kubernetes', 'Docker']}, {'timestamp': '2021-12', 'skills': ['Kubernetes', 'Docker', 'Deep Learning']}]","[{'detail': 0.614, 'tag': 'proj_1'}, {'detail': 0.614, 'tag': 'proj_1'}, {'detail': 0.843, 'tag': 'proj_1'}]",0.333,0.69,1.0,1.0,0
28,"[{'timestamp': '2020-01', 'skills': ['SQL']}, {'timestamp': '2020-12', 'skills': ['SQL', 'Kubernetes']}, {'timestamp': '2021-12', 'skills': ['AWS', 'Machine Learning', 'Python', 'Docker', 'Deep Learning', 'SQL', 'Kubernetes', 'NLP']}]","[{'detail': 0.426, 'tag': 'proj_2'}, {'detail': 0.382, 'tag': 'proj_3'}, {'detail': 0.497, 'tag': 'proj_1'}]",0.75,0.435,0.3,0.3,1
29,"[{'timestamp': '2020-01', 'skills': ['Docker']}, {'timestamp': '2020-12', 'skills': ['Docker', 'NLP']}, {'timestamp': '2021-12', 'skills': ['Docker', 'NLP']}]","[{'detail': 0.761, 'tag': 'proj_3'}, {'detail': 0.869, 'tag': 'proj_3'}, {'detail': 0.793, 'tag': 'proj_3'}]",0.5,0.808,1.0,0.3,0
30,"[{'timestamp': '2020-01', 'skills': ['AWS']}, {'timestamp': '2020-12', 'skills': ['AWS', 'Spark']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'NLP']}]","[{'detail': 0.5, 'tag': 'proj_4'}, {'detail': 0.424, 'tag': 'proj_1'}, {'detail': 0.212, 'tag': 'proj_1'}]",0.6,0.379,0.3,0.3,1
31,"[{'timestamp': '2020-01', 'skills': ['AWS']}, {'timestamp': '2020-12', 'skills': ['AWS', 'Python']}, {'timestamp': '2021-12', 'skills': ['AWS', 'Machine Learning', 'Python', 'Docker', 'Deep Learning', 'SQL', 'Kubernetes', 'NLP']}]","[{'detail': 0.263, 'tag': 'proj_2'}, {'detail': 0.331, 'tag': 'proj_5'}, {'detail': 0.274, 'tag': 'proj_2'}]",0.75,0.289,0.3,0.3,1
32,"[{'timestamp': '2020-01', 'skills': ['NLP']}, {'timestamp': '2020-12', 'skills': ['NLP', 'SQL']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.489, 'tag': 'proj_1'}, {'detail': 0.308, 'tag': 'proj_3'}, {'detail': 0.433, 'tag': 'proj_3'}]",0.667,0.41,0.3,0.3,1
33,"[{'timestamp': '2020-01', 'skills': ['Docker']}, {'timestamp': '2020-12', 'skills': ['Docker', 'Kubernetes']}, {'timestamp': '2021-12', 'skills': ['Docker', 'Kubernetes', 'NLP']}]","[{'detail': 0.706, 'tag': 'proj_1'}, {'detail': 0.88, 'tag': 'proj_1'}, {'detail': 0.794, 'tag': 'proj_1'}]",0.333,0.793,1.0,0.3,0
34,"[{'timestamp': '2020-01', 'skills': ['Docker']}, {'timestamp': '2020-12', 'skills': ['Docker', 'Kubernetes']}, {'timestamp': '2021-12', 'skills': ['Docker', 'Kubernetes', 'AWS']}]","[{'detail': 0.687, 'tag': 'proj_3'}, {'detail': 0.686, 'tag': 'proj_3'}, {'detail': 0.731, 'tag': 'proj_3'}]",0.333,0.701,1.0,0.3,0
35,"[{'timestamp': '2020-01', 'skills': ['Spark']}, {'timestamp': '2020-12', 'skills': ['Spark', 'Deep Learning']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'NLP']}]","[{'detail': 0.473, 'tag': 'proj_4'}, {'detail': 0.23, 'tag': 'proj_5'}, {'detail': 0.286, 'tag': 'proj_2'}]",0.6,0.33,0.3,0.3,1
36,"[{'timestamp': '2020-01', 'skills': ['Kubernetes']}, {'timestamp': '2020-12', 'skills': ['Kubernetes', 'Spark']}, {'timestamp': '2021-12', 'skills': ['Kubernetes', 'Spark', 'AWS']}]","[{'detail': 0.526, 'tag': 'proj_1'}, {'detail': 0.658, 'tag': 'proj_1'}, {'detail': 0.702, 'tag': 'proj_1'}]",0.333,0.629,1.0,1.0,0
37,"[{'timestamp': '2020-01', 'skills': ['Python']}, {'timestamp': '2020-12', 'skills': ['Python', 'AWS']}, {'timestamp': '2021-12', 'skills': ['Python', 'AWS', 'SQL']}]","[{'detail': 0.795, 'tag': 'proj_2'}, {'detail': 0.623, 'tag': 'proj_2'}, {'detail': 0.723, 'tag': 'proj_2'}]",0.333,0.714,1.0,0.3,0
38,"[{'timestamp': '2020-01', 'skills': ['Spark']}, {'timestamp': '2020-12', 'skills': ['Spark', 'AWS']}, {'timestamp': '2021-12', 'skills': ['Spark', 'AWS', 'Docker']}]","[{'detail': 0.722, 'tag': 'proj_3'}, {'detail': 0.883, 'tag': 'proj_3'}, {'detail': 0.753, 'tag': 'proj_3'}]",0.333,0.786,1.0,0.3,0
39,"[{'timestamp': '2020-01', 'skills': ['AWS']}, {'timestamp': '2020-12', 'skills': ['AWS', 'AWS']}, {'timestamp': '2021-12', 'skills': ['AWS', 'Machine Learning', 'Python', 'Docker', 'Deep Learning', 'SQL', 'Kubernetes', 'NLP']}]","[{'detail': 0.277, 'tag': 'proj_5'}, {'detail': 0.338, 'tag': 'proj_3'}, {'detail': 0.361, 'tag': 'proj_2'}]",0.75,0.325,0.3,1.0,1
40,"[{'timestamp': '2020-01', 'skills': ['Spark']}, {'timestamp': '2020-12', 'skills': ['Spark', 'Machine Learning']}, {'timestamp': '2021-12', 'skills': ['AWS', 'Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.5, 'tag': 'proj_2'}, {'detail': 0.36, 'tag': 'proj_2'}, {'detail': 0.247, 'tag': 'proj_5'}]",0.714,0.369,0.3,0.3,1
41,"[{'timestamp': '2020-01', 'skills': ['Kafka']}, {'timestamp': '2020-12', 'skills': ['Kafka', 'Deep Learning']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'NLP']}]","[{'detail': 0.217, 'tag': 'proj_1'}, {'detail': 0.301, 'tag': 'proj_3'}, {'detail': 0.222, 'tag': 'proj_1'}]",0.6,0.247,0.3,0.3,1
42,"[{'timestamp': '2020-01', 'skills': ['SQL']}, {'timestamp': '2020-12', 'skills': ['SQL', 'Deep Learning']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'NLP']}]","[{'detail': 0.346, 'tag': 'proj_2'}, {'detail': 0.351, 'tag': 'proj_3'}, {'detail': 0.349, 'tag': 'proj_3'}]",0.6,0.349,0.3,0.3,1
43,"[{'timestamp': '2020-01', 'skills': ['NLP']}, {'timestamp': '2020-12', 'skills': ['NLP', 'AWS']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'NLP']}]","[{'detail': 0.355, 'tag': 'proj_1'}, {'detail': 0.328, 'tag': 'proj_1'}, {'detail': 0.431, 'tag': 'proj_3'}]",0.6,0.371,0.3,0.3,1
44,"[{'timestamp': '2020-01', 'skills': ['NLP']}, {'timestamp': '2020-12', 'skills': ['NLP', 'Python']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.435, 'tag': 'proj_5'}, {'detail': 0.41, 'tag': 'proj_5'}, {'detail': 0.483, 'tag': 'proj_5'}]",0.667,0.443,1.0,0.3,1
45,"[{'timestamp': '2020-01', 'skills': ['Python']}, {'timestamp': '2020-12', 'skills': ['Python', 'Kubernetes']}, {'timestamp': '2021-12', 'skills': ['AWS', 'Machine Learning', 'Python', 'Docker', 'Deep Learning', 'SQL', 'Kubernetes', 'NLP']}]","[{'detail': 0.293, 'tag': 'proj_3'}, {'detail': 0.365, 'tag': 'proj_4'}, {'detail': 0.212, 'tag': 'proj_2'}]",0.75,0.29,0.3,0.3,1
46,"[{'timestamp': '2020-01', 'skills': ['AWS']}, {'timestamp': '2020-12', 'skills': ['AWS', 'Kubernetes']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.417, 'tag': 'proj_3'}, {'detail': 0.205, 'tag': 'proj_2'}, {'detail': 0.308, 'tag': 'proj_4'}]",0.667,0.31,0.3,0.3,1
47,"[{'timestamp': '2020-01', 'skills': ['Python']}, {'timestamp': '2020-12', 'skills': ['Python', 'Python']}, {'timestamp': '2021-12', 'skills': ['AWS', 'Machine Learning', 'Python', 'Docker', 'Deep Learning', 'SQL', 'Kubernetes', 'NLP']}]","[{'detail': 0.467, 'tag': 'proj_1'}, {'detail': 0.337, 'tag': 'proj_3'}, {'detail': 0.476, 'tag': 'proj_4'}]",0.75,0.427,0.3,0.3,1
48,"[{'timestamp': '2020-01', 'skills': ['Docker']}, {'timestamp': '2020-12', 'skills': ['Docker', 'Kafka']}, {'timestamp': '2021-12', 'skills': ['Docker', 'Kafka', 'Spark']}]","[{'detail': 0.691, 'tag': 'proj_1'}, {'detail': 0.769, 'tag': 'proj_1'}, {'detail': 0.895, 'tag': 'proj_1'}]",0.333,0.785,1.0,1.0,0
49,"[{'timestamp': '2020-01', 'skills': ['Python']}, {'timestamp': '2020-12', 'skills': ['Python', 'NLP']}, {'timestamp': '2021-12', 'skills': ['Python', 'NLP', 'AWS']}]","[{'detail': 0.752, 'tag': 'proj_3'}, {'detail': 0.769, 'tag': 'proj_3'}, {'detail': 0.855, 'tag': 'proj_3'}]",0.333,0.792,1.0,1.0,0
50,"[{'timestamp': '2020-01', 'skills': ['Machine Learning']}, {'timestamp': '2020-12', 'skills': ['Machine Learning', 'SQL']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'SQL', 'AWS']}]","[{'detail': 0.749, 'tag': 'proj_3'}, {'detail': 0.692, 'tag': 'proj_3'}, {'detail': 0.89, 'tag': 'proj_3'}]",0.333,0.777,1.0,0.3,0
51,"[{'timestamp': '2020-01', 'skills': ['Deep Learning']}, {'timestamp': '2020-12', 'skills': ['Deep Learning', 'AWS']}, {'timestamp': '2021-12', 'skills': ['AWS', 'Machine Learning', 'Python', 'Docker', 'Deep Learning', 'SQL', 'Kubernetes', 'NLP']}]","[{'detail': 0.279, 'tag': 'proj_3'}, {'detail': 0.209, 'tag': 'proj_3'}, {'detail': 0.306, 'tag': 'proj_5'}]",0.75,0.265,0.3,0.3,1
52,"[{'timestamp': '2020-01', 'skills': ['Spark']}, {'timestamp': '2020-12', 'skills': ['Spark', 'Python']}, {'timestamp': '2021-12', 'skills': ['Spark', 'Python', 'SQL']}]","[{'detail': 0.502, 'tag': 'proj_1'}, {'detail': 0.851, 'tag': 'proj_1'}, {'detail': 0.897, 'tag': 'proj_1'}]",0.333,0.75,1.0,1.0,0
53,"[{'timestamp': '2020-01', 'skills': ['Machine Learning']}, {'timestamp': '2020-12', 'skills': ['Machine Learning', 'NLP']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'NLP']}]","[{'detail': 0.897, 'tag': 'proj_3'}, {'detail': 0.862, 'tag': 'proj_3'}, {'detail': 0.804, 'tag': 'proj_3'}]",0.5,0.854,1.0,0.3,0
54,"[{'timestamp': '2020-01', 'skills': ['Docker']}, {'timestamp': '2020-12', 'skills': ['Docker', 'Kubernetes']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.232, 'tag': 'proj_2'}, {'detail': 0.463, 'tag': 'proj_5'}, {'detail': 0.447, 'tag': 'proj_3'}]",0.667,0.381,0.3,0.3,1
55,"[{'timestamp': '2020-01', 'skills': ['SQL']}, {'timestamp': '2020-12', 'skills': ['SQL', 'Docker']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.299, 'tag': 'proj_5'}, {'detail': 0.388, 'tag': 'proj_5'}, {'detail': 0.437, 'tag': 'proj_1'}]",0.667,0.375,0.3,1.0,1
56,"[{'timestamp': '2020-01', 'skills': ['Kafka']}, {'timestamp': '2020-12', 'skills': ['Kafka', 'SQL']}, {'timestamp': '2021-12', 'skills': ['Kafka', 'SQL']}]","[{'detail': 0.854, 'tag': 'proj_2'}, {'detail': 0.795, 'tag': 'proj_2'}, {'detail': 0.821, 'tag': 'proj_2'}]",0.5,0.823,1.0,0.3,0
57,"[{'timestamp': '2020-01', 'skills': ['Docker']}, {'timestamp': '2020-12', 'skills': ['Docker', 'Machine Learning']}, {'timestamp': '2021-12', 'skills': ['AWS', 'Machine Learning', 'Python', 'Docker', 'Deep Learning', 'SQL', 'Kubernetes', 'NLP']}]","[{'detail': 0.473, 'tag': 'proj_4'}, {'detail': 0.354, 'tag': 'proj_4'}, {'detail': 0.452, 'tag': 'proj_2'}]",0.75,0.426,0.3,0.3,1
58,"[{'timestamp': '2020-01', 'skills': ['Kubernetes']}, {'timestamp': '2020-12', 'skills': ['Kubernetes', 'Python']}, {'timestamp': '2021-12', 'skills': ['Kubernetes', 'Python', 'SQL']}]","[{'detail': 0.561, 'tag': 'proj_1'}, {'detail': 0.796, 'tag': 'proj_1'}, {'detail': 0.702, 'tag': 'proj_1'}]",0.333,0.686,1.0,0.3,0
59,"[{'timestamp': '2020-01', 'skills': ['Deep Learning']}, {'timestamp': '2020-12', 'skills': ['Deep Learning', 'NLP']}, {'timestamp': '2021-12', 'skills': ['AWS', 'Machine Learning', 'Python', 'Docker', 'Deep Learning', 'SQL', 'Kubernetes', 'NLP']}]","[{'detail': 0.231, 'tag': 'proj_3'}, {'detail': 0.414, 'tag': 'proj_2'}, {'detail': 0.273, 'tag': 'proj_5'}]",0.75,0.306,0.3,0.3,1
60,"[{'timestamp': '2020-01', 'skills': ['Kafka']}, {'timestamp': '2020-12', 'skills': ['Kafka', 'Kubernetes']}, {'timestamp': '2021-12', 'skills': ['AWS', 'Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.363, 'tag': 'proj_5'}, {'detail': 0.291, 'tag': 'proj_3'}, {'detail': 0.438, 'tag': 'proj_5'}]",0.714,0.364,0.3,0.3,1
61,"[{'timestamp': '2020-01', 'skills': ['Docker']}, {'timestamp': '2020-12', 'skills': ['Docker', 'Docker']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.221, 'tag': 'proj_1'}, {'detail': 0.387, 'tag': 'proj_1'}, {'detail': 0.472, 'tag': 'proj_1'}]",0.667,0.36,1.0,1.0,1
62,"[{'timestamp': '2020-01', 'skills': ['Spark']}, {'timestamp': '2020-12', 'skills': ['Spark', 'Kafka']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.488, 'tag': 'proj_1'}, {'detail': 0.313, 'tag': 'proj_5'}, {'detail': 0.213, 'tag': 'proj_4'}]",0.667,0.338,0.3,0.3,1
63,"[{'timestamp': '2020-01', 'skills': ['Kubernetes']}, {'timestamp': '2020-12', 'skills': ['Kubernetes', 'NLP']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.341, 'tag': 'proj_3'}, {'detail': 0.399, 'tag': 'proj_4'}, {'detail': 0.363, 'tag': 'proj_3'}]",0.667,0.368,0.3,0.3,1
64,"[{'timestamp': '2020-01', 'skills': ['Kafka']}, {'timestamp': '2020-12', 'skills': ['Kafka', 'Python']}, {'timestamp': '2021-12', 'skills': ['Machine Learning', 'Python', 'Docker', 'Deep Learning', 'Kubernetes', 'NLP']}]","[{'detail': 0.313, 'tag': 'proj_5'}, {'detail': 0.292, 'tag': 'proj_5'}, {'detail': 0.461, 'tag': 'proj_3'}]",0.667,0.355,0.3,0.3,1
